method,dataset,pattern,ratio,rmse,mae,mape,crps
fadti_frsst_conv,ett,time,0.1,0.24917249047824355,0.13405060447652328,0.6692572308789073,0.13343944047626696
fadti_dft_attn,ett,point,0.1,0.1196371530143474,0.06950729856597358,0.38665995162919786,0.06860778206273128
fadti_stft_attn,ett,time,0.1,0.16008327566902636,0.099977488672622,0.623173447285248,0.11317442592821624
fadti_frsst_conv,ett,time,0.1,0.2199009340261993,0.1265360058587588,0.673341581449552,0.12502548569127134
fadti_frsst_attn,ett,point,0.1,0.10371245486947735,0.06296590487748427,0.3684506321559063,0.06881220717179148
fadti_frsst_conv,ett,time,0.1,0.1823727771762278,0.10549098276785418,0.5149777126515022,0.09520168053476434
fadti_dft_conv,ett,time,0.5,0.2043110863615704,0.11966436899598444,0.6633670152221863,0.11648048852619372
fadti_stft_attn,ett,point,0.1,0.10746984139528937,0.0697291987336228,0.48501487012319827,0.07768302842190392
fadti_dft_attn,ett,point,0.5,0.14294686984954152,0.08805311432513369,0.5320395046511763,0.08497964708428633
fadti_frsst_conv,ett,point,0.1,0.13668074558275645,0.08222693785144938,0.5235201216035366,0.0802357698741712
fadti_frsst_conv,ett,point,0.5,0.15502715890830635,0.09769425920483775,0.6628349042353816,0.11023626829448499
fadti_frsst_attn,ett,point,0.5,0.13756872164416145,0.08679945710251978,0.5861308186983238,0.09784751816799767
fadti_stft_conv,ett,time,0.1,0.17907287538561434,0.10692580943755102,0.5690280656270581,0.10458006984309147
fadti_stft_attn,ett,time,0.5,0.24348198357755052,0.13170401794618686,0.6862732451349562,0.13316916164598966
